Element,Crystal System,Space Group,Space Group Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Traditional Radius (Å),Volume Radius (Å),Corrected Volume Radius (Å),Primary Radius (Å),Atomic Volume (Å³),Coordination Number,Filename
Pt,fcc,F m -3 m,225,3.924,3.924,3.924,90.0,90.0,90.0,60.42,4.0,21.45,1.387343504688006,1.5334773773721766,1.387336983308608,1.387336983308608,15.105,12.0,Pt_(fcc)_EntryWithCollCode76951.cif
Pu,mP16,P 1 21/m 1,11,6.18595,4.82598,10.9719,90.0,101.787,90.0,320.64,16.0,20.22,2.41299,1.6850121469293577,1.5283060172649274,1.5283060172649274,20.04,,Pu_(mP16)_EntryWithCollCode94242.cif
Rb,bcc,I m -3 m,229,5.697,5.697,5.697,90.0,90.0,90.0,184.9,2.0,1.54,2.4668733626799733,2.8050424330594086,2.4305692682459776,2.4305692682459776,92.45,8.0,Rb_(bcc)_EntryWithCollCode44869.cif
Re,hcp,P 63/m m c,194,2.7319,2.7319,4.4551,90.0,90.0,120.0,28.79,2.0,21.48,1.36595,1.5090640968433908,1.3711356383919049,1.3711356383919049,14.395,12.0,Re_(hcp)_EntryWithCollCode60324.cif
Rh,fcc,F m -3 m,225,3.803,3.803,3.803,90.0,90.0,90.0,55.0,4.0,12.21,1.34456354442622,1.4861798302170155,1.3445468923973338,1.3445468923973338,13.75,12.0,Rh_(fcc)_EntryWithCollCode650222.cif
Ru,hcp,P 63/m m c,194,2.7058,2.7058,4.2811,90.0,90.0,120.0,27.14,2.0,12.37,1.3529,1.4796661754145695,1.3444246869816778,1.3444246869816778,13.57,12.0,Ru_(hcp)_EntryWithCollCode43710.cif
S,Fddd,F d d d S,70,10.451,12.8711,24.4649,90.0,90.0,90.0,3290.92,16.0,2.07,,3.6618699044256475,3.3213160033140623,3.3213160033140623,205.6825,,S8_(Fddd)_EntryWithCollCode139983.cif
Sb,α-As,R -3 m H,166,4.30724,4.30724,11.2754,90.0,90.0,120.0,181.16,6.0,6.7,1.07681,1.9317050600744594,1.7520564894875348,1.7520564894875348,30.19333333333333,3.0,Sb_(α-As)_EntryWithCollCode161493.cif
Sc,hcp,P 63/m m c,194,3.3098,3.3098,5.266,90.0,90.0,120.0,49.96,2.0,2.99,1.6549,1.813431999361495,1.647684314619854,1.647684314619854,24.98,12.0,Sc_(hcp)_EntryWithCollCode164088.cif
Se,γ-Se,P 31 2 1,152,4.368,4.368,4.958,90.0,90.0,120.0,81.92,3.0,4.8,2.184,1.8680709199051777,1.6943403243539963,1.6943403243539963,27.30666666666667,2.0,Se_(γ-Se)_EntryWithCollCode40018.cif
