Element,Crystal System,Space Group,Space Group_Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Metallic Radius (Å),Atomic Volume (Å³),Coordination Number,Calculation Method,Filename,Atomic Number,Element Category
Ho,hcp,P 63/m m c,194,3.577300,3.577300,5.615800,90.000000,90.000000,120.000000,62.240000,2,8.800000,1.788650,31.120000,12,hcp,Ho_(hcp)_EntryWithCollCode102660.cif,67.000000,Lanthanides
Er,hcp,P 63/m m c,194,3.558800,3.558800,5.587400,90.000000,90.000000,120.000000,61.280000,2,9.060000,1.779400,30.640000,12,hcp,Er_(hcp)_EntryWithCollCode53387.cif,68.000000,Lanthanides
Tm,hcp,P 63/m m c,194,3.537500,3.537500,5.554600,90.000000,90.000000,120.000000,60.200000,2,9.320000,1.768750,30.100000,12,hcp,Tm_(hcp)_EntryWithCollCode102661.cif,69.000000,Lanthanides
Yb,fcc,F m -3 m,225,5.484700,5.484700,5.484700,90.000000,90.000000,90.000000,164.990000,4,6.970000,1.939134,41.247500,12,fcc,Yb_(fcc)_EntryWithCollCode653477.cif,70.000000,Lanthanides
Lu,hcp,P 63/m m c,194,3.503100,3.503100,5.550900,90.000000,90.000000,120.000000,58.990000,2,9.850000,1.751550,29.495000,12,hcp,Lu_(hcp)_EntryWithCollCode44909.cif,71.000000,Lanthanides
Hf,hcp,P 63/m m c,194,3.194600,3.194600,5.051000,90.000000,90.000000,120.000000,44.640000,2,13.280000,1.597300,22.320000,12,hcp,Hf_(hcp)_EntryWithCollCode638559.cif,72.000000,Transition Metals
Ta,bcc,I m -3 m,229,3.295900,3.295900,3.295900,90.000000,90.000000,90.000000,35.800000,2,16.780000,1.427167,17.900000,8,bcc,Ta_(bcc)_EntryWithCollCode151407.cif,73.000000,Transition Metals
W,bcc,I m -3 m,229,3.165220,3.165220,3.165220,90.000000,90.000000,90.000000,31.710000,2,19.250000,1.370580,15.855000,8,bcc,W_(bcc)_EntryWithCollCode43667.cif,74.000000,Transition Metals
Re,hcp,P 63/m m c,194,2.731900,2.731900,4.455100,90.000000,90.000000,120.000000,28.790000,2,21.480000,1.365950,14.395000,12,hcp,Re_(hcp)_EntryWithCollCode60324.cif,75.000000,Transition Metals
Os,hcp,P 63/m m c,194,2.735900,2.735900,4.318600,90.000000,90.000000,120.000000,27.990000,2,22.560000,1.367950,13.995000,12,hcp,Os_(hcp)_EntryWithCollCode52262.cif,76.000000,Transition Metals
Ir,hcp,F m -3 m,225,3.838500,3.838500,3.838500,90.000000,90.000000,90.000000,56.560000,4,22.690000,1.919250,14.140000,12,hcp,Ir_(hcp)_EntryWithCollCode640730.cif,77.000000,Transition Metals
Pt,fcc,F m -3 m,225,3.924000,3.924000,3.924000,90.000000,90.000000,90.000000,60.420000,4,21.450000,1.387344,15.105000,12,fcc,Pt_(fcc)_EntryWithCollCode76951.cif,78.000000,Transition Metals
Au,Unknown,F m -3 m,225,4.078940,4.078940,4.078940,90.000000,90.000000,90.000000,67.860000,4,19.280000,2.039470,16.965000,Unknown,unknown,Au_EntryWithCollCode52700.cif,79.000000,Transition Metals
Tl,hcp,P 63/m m c,194,3.456600,3.456600,5.524800,90.000000,90.000000,120.000000,57.170000,2,11.870000,1.728300,28.585000,12,hcp,Tl_(hcp)_EntryWithCollCode77372.cif,81.000000,Post-transition Metals
Pb,fcc,F m -3 m,225,4.841100,4.841100,4.841100,90.000000,90.000000,90.000000,113.450000,4,12.130000,1.711587,28.362500,12,fcc,Pb_(fcc)_EntryWithCollCode204895.cif,82.000000,Post-transition Metals
Bi,α-As,R -3 m H,166,4.548100,4.548100,11.860000,90.000000,90.000000,120.000000,212.450000,6,9.800000,1.137025,35.408333,3,arsenic,Bi_(α-As)_EntryWithCollCode205270.cif,83.000000,Post-transition Metals
Po,α-Po,P m -3 m,221,3.359000,3.359000,3.359000,90.000000,90.000000,90.000000,37.900000,1,9.200000,1.679500,37.900000,6,simple cubic,Po_(α-Po)_EntryWithCollCode43211.cif,84.000000,Post-transition Metals
Po,β-Po,R -3 m R,166,3.368000,3.368000,3.368000,98.240000,98.240000,98.240000,36.890000,1,9.450000,1.684000,36.890000,6,simple cubic,Po_(β-Po)_EntryWithCollCode43212.cif,84.000000,Post-transition Metals
Ac,Unknown,F m -3 m,225,5.311000,5.311000,5.311000,90.000000,90.000000,90.000000,149.810000,4,10.060000,2.655500,37.452500,Unknown,unknown,Ac_EntryWithCollCode43491.cif,89.000000,Actinides
Th,fcc,F m -3 m,225,5.083800,5.083800,5.083800,90.000000,90.000000,90.000000,131.390000,4,11.730000,1.797395,32.847500,12,fcc,Th_(fcc)_EntryWithCollCode653236.cif,90.000000,Actinides
Pa,α-Pa,I 4/m m m,139,3.921000,3.921000,3.235000,90.000000,90.000000,90.000000,49.740000,2,15.430000,0.808750,24.870000,8,tetragonal,Pa_(α-Pa)_EntryWithCollCode648332.cif,91.000000,Actinides
U,U,C m c m,63,2.869000,5.870000,4.955000,90.000000,90.000000,90.000000,83.450000,4,18.950000,1.434500,20.862500,8,uranium,U_(U)_EntryWithCollCode43339.cif,92.000000,Actinides
Np,α-Np,P n m a,62,6.663000,4.723000,4.887000,90.000000,90.000000,90.000000,153.790000,8,20.470000,1.356083,19.223750,8,orthorhombic,Np_(α-Np)_EntryWithCollCode105489.cif,93.000000,Actinides
Pu,mP16,P 1 21/m 1,11,6.185950,4.825980,10.971900,90.000000,101.787000,90.000000,320.640000,16,20.220000,1.447794,20.040000,8,plutonium,Pu_(mP16)_EntryWithCollCode94242.cif,94.000000,Actinides
Am,Unknown,F m -3 m,225,4.893000,4.893000,4.893000,90.000000,90.000000,90.000000,117.150000,4,13.780000,2.446500,29.287500,Unknown,unknown,Am_EntryWithCollCode259453.cif,95.000000,Actinides
Cm,α-La,P 63/m m c,194,3.520000,3.520000,11.396000,90.000000,90.000000,120.000000,122.280000,4,13.420000,1.760000,30.570000,12,alpha la,Cm_(α-La)_EntryWithCollCode622376.cif,96.000000,Actinides
Bk,α-La,P 63/m m c,194,3.412000,3.412000,11.060000,90.000000,90.000000,120.000000,111.510000,4,14.710000,1.706000,27.877500,12,alpha la,Bk_(α-La)_EntryWithCollCode617264.cif,97.000000,Actinides
Bk,Cu fcc,F m -3 m,225,4.810000,4.810000,4.810000,90.000000,90.000000,90.000000,111.280000,4,14.740000,2.405000,27.820000,Unknown,unknown,Bk_(Cu fcc)_EntryWithCollCode52740.cif,97.000000,Actinides
Cf,α-La,P 63/m m c,194,3.380000,3.380000,11.025000,90.000000,90.000000,120.000000,109.080000,4,15.280000,1.690000,27.270000,12,alpha la,Cf_(α-La)_EntryWithCollCode622351.cif,98.000000,Actinides
D,cI4,I 2 3,197,5.210000,5.210000,5.210000,90.000000,90.000000,90.000000,141.420000,2,0.090000,1.042000,70.710000,12,molecular,D2_(cI4)_EntryWithCollCode28466.cif,,Other
